name	city	id_staz	id_reg	lat	lon	name_raw
Anzola		S05386				ANZOLA
Aosta	Aosta	S00137	4	45.73407	7.322424	AOSTA
Aosta Istituto	Aosta	S00143	4	45.732938	7.303076	AOSTA ISTITUTO
Aosta Viale Europa	Aosta	S00146	4	45.733294	7.297371	AOSTA VIALE EUROPA
Apice S. Arcangelo Bonito		S09314	18	41.140927	14.918733	APICE S. ARCANGELO BONITO
Appiano		S08328	5	41.909342	12.43838	APPIANO
Apricena		S11024	16	41.77664	15.387809	APRICENA
Aprilia		S08705	5	41.592386	12.639126	APRILIA
Aquilonia		S09623	18	40.940252	15.541249	AQUILONIA
Aragona Caldare		S12370	14	37.381097	13.636837	ARAGONA CALDARE
Arbia		S06811	13	43.294393	11.406225	ARBIA
Arce		S08861	5	41.583695	13.571848	ARCE
Archi		S07992				ARCHI
Arcisate		S01203	1	45.858579	8.86241	ARCISATE
Arcola		S06006	2	44.118651	9.914649	ARCOLA
Arcore		S01510	1	45.623493	9.322798	ARCORE
Ardara		S12817	20	40.632139	8.818996	ARDARA
Ardenno Masino		S01427	1	46.16198	9.651374	ARDENNO MASINO
Ardore		S11853	17	38.175698	16.207311	ARDORE
Arena Po		S01947	1	45.082065	9.360394	ARENA PO
Arenzano		S04533	2	44.403089	8.678322	ARENZANO
Arezzo	Arezzo	S06915	13	43.461725	11.874189	AREZZO
Arezzo C. C.	Arezzo	S06086				AREZZO C.C.
Arezzo Pescaiola	Arezzo	S06063				AREZZO PESCAIOLA
Argenta		S05804	8	44.616867	11.841267	ARGENTA
Ariano Irpino		S09316	18	41.181883	15.117508	ARIANO IRPINO
Arona		S01020	3	45.755392	8.559075	ARONA
Arosio		S01092				AROSIO
Arpaia-Airola-S. Agata dei Goti		S09017				ARPAIA-AIROLA-S. AGATA DEI GOTI
Arpino		S08859	5	41.648296	13.59959	ARPINO
Arquata Scrivia		S04207	3	44.692533	8.885342	ARQUATA SCRIVIA
Arqua'		S05707	12	45.006465	11.748518	ARQUA'
Arsoli		S08516	5	42.045852	13.013064	ARSOLI
Artegna		S03021	10	46.23115	13.162328	ARTEGNA
Artogne - Gianico		N00219				ARTOGNE - GIANICO
Arvier		S00134	4	45.704259	7.166681	ARVIER
Ascea		S11711	18	40.140955	15.172626	ASCEA
Asciano		S06813	13	43.235245	11.579237	ASCIANO
Asciano Monte Oliveto Maggiore		S06825	13	43.231706	11.563621	ASCIANO MONTE OLIVETO MAGGIORE
Ascoli Piceno		S07550	11	42.855474	13.587939	ASCOLI PICENO
Ascoli Satriano		S11203	16	41.219859	15.547828	ASCOLI SATRIANO
Asola		S01847	1	45.220454	10.402313	ASOLA
Assemini		S12889	20	39.287603	8.997936	ASSEMINI
Assisi		S07008	6	43.058921	12.585304	ASSISI
Asso		S01101	1	45.855228	9.268513	ASSO
Asti		S00462	3	44.89479	8.208112	ASTI
Ateleta		S07998				ATELETA
Atena		S09904	18	40.456676	15.536094	ATENA
Attigliano		S08207	6	42.518054	12.294761	ATTIGLIANO
Augusta		S12345	14	37.24334	15.218628	AUGUSTA
Auletta		S09902	18	40.534934	15.426706	AULETTA
Aulla		S06168	13	44.209662	9.970632	AULLA
Aulla Lunigiana		S06013	13	44.210555	9.970015	AULLA LUNIGIANA
Aurisina		S03550	10	45.753943	13.687706	AURISINA
Avellino		S09514	18	40.921612	14.820586	AVELLINO
Aversa		S09006	18	40.973323	14.218578	AVERSA
Avezzano		S08526	19	42.039495	13.426446	AVEZZANO
Aviano		S03087	10	46.064362	12.590686	AVIANO
Avigliana		S00214	3	45.085276	7.401096	AVIGLIANA
Avigliano Lucania		S11214	15	40.714667	15.785619	AVIGLIANO LUCANIA
Avio		S02050	9	45.733892	10.955842	AVIO
Avise		S00133	4	45.706296	7.131285	AVISE
Avola		S12426	14	36.907434	15.125733	AVOLA
Bari Centrale	Bari	S11119	16	41.11774	16.869601	BARI CENTRALE
Bologna C. Le	Bologna	S05043	8	44.50626	11.342267	BOLOGNA C. LE
Ba Policlinico		S11499				BA POLICLINICO
Baciano		S06081				BACIANO
Baden		S03118				BADEN
Badia Polesine		S02370	12	45.094439	11.484722	BADIA POLESINE
Badolato		S11841	17	38.572268	16.567646	BADOLATO
Bagheria		S12008	14	38.089905	13.507215	BAGHERIA
Bagnacavallo		S05902	8	44.412138	11.969398	BAGNACAVALLO
Bagnara		S11770	17	38.282695	15.800327	BAGNARA
Bagnaria Arsa		S03123	10	45.885513	13.282026	BAGNARIA ARSA
Bagnasco		S00921	3	44.303264	8.046132	BAGNASCO
Bagni di Lucca		S06308	13	44.003447	10.551631	BAGNI DI LUCCA
Bagni di Tivoli		S08504	5	41.949593	12.722208	BAGNI DI TIVOLI
Bagnoli Agnano Terme		S09102	18	40.819444	14.166694	BAGNOLI AGNANO TERME
Bagnoli Irpino		S09613	18	40.83917	15.06324	BAGNOLI IRPINO
Bagnolo Mella		S01901	1	45.428532	10.183617	BAGNOLO MELLA
Baiano di Spoleto		S07224	6	42.726238	12.663615	BAIANO DI SPOLETO
Balangero		S00094				BALANGERO
Balatonfoeldvar		S03418				BALATONFOELDVAR
Balatonlelle		S03459				BALATONLELLE
Balatonszentgyorgy		S03566				BALATONSZENTGYORGY
Baldichieri		S00460	3	44.899204	8.091198	BALDICHIERI
Balestrate		S12122	14	38.053364	13.007374	BALESTRATE
Balsorano		S08856	19	41.809427	13.556546	BALSORANO
Balvano R.		S09830	15	40.649993	15.495304	BALVANO R.
Balzola		S00178	3	45.173985	8.402174	BALZOLA
Bandito		S00732	3	44.722075	7.819452	BANDITO
Baragiano		S09832	15	40.695213	15.569206	BARAGIANO
Baranello		S09458	7	41.5176	14.596314	BARANELLO
Barasso - Comerio		N00027				BARASSO - COMERIO
Barberino Val d'Elsa		S06806				BARBERINO VAL D'ELSA
Barbianello		S01932	1	45.07263	9.204165	BARBIANELLO
Barbiano		S05905	8	44.387263	11.878086	BARBIANO
